id,Municipio,Taxa
2914208,IRAJUBA,0.018
4207809,IRANI,0.03
4207858,IRATI,0.064
2306108,IRAUCUBA,0.025
4207908,IRINEOPOLIS,0.019
1503507,IRITUIA,0.006
3202652,IRUPI,0.003
4310538,ITAARA,0.022
2802908,ITABAIANA,0.08
2914653,ITABELA,0.04
2914703,ITABERABA,0.023
5210406,ITABERAI,0.001
3131901,ITABIRITO,0.058
3301900,ITABORAI,0.211
2914802,ITABUNA,0.078
2915304,ITAGIMIRIM,0.014
3302007,ITAGUAI,0.117
3132206,ITAGUARA,0.049
5210562,ITAGUARI,0.0
2607505,ITAIBA,0.0
4208104,ITAIOPOLIS,0.017
2306256,ITAITINGA,0.051
1503606,ITAITUBA,0.074
5210802,ITAJA,0.014
4208203,ITAJAI,0.372
2915502,ITAJUIPE,0.007
3302056,ITALVA,0.03
2915601,ITAMARAJU,0.04
3132701,ITAMBACURI,0.031
3133006,ITAMONTE,0.025
3133105,ITANHANDU,0.006
3133303,ITAOBIM,0.027
2916203,ITAPE,0.0
2916302,ITAPEBI,0.015
3522208,ITAPECERICA DA SERRA,0.094
2105401,ITAPECURU MIRIM,0.037
4208302,ITAPEMA,0.223
3202801,ITAPEMIRIM,0.022
3302205,ITAPERUNA,0.06
3522406,ITAPEVA,0.039
2306405,ITAPIPOCA,0.003
